DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG
232,Helocordulia selysii,,Arthropoda,,,,Insecta,,,,Odonata,,,,Corduliidae,Corduliinae,,,Helocordulia,selysii,,PRD
233,Hesperoconopa,,Arthropoda,,,,Insecta,,,,Diptera,,,,Tipulidae,,,,Hesperoconopa,,,C-G
234,Heteroplectron americanum,,,,,,Insecta,,,,Trichoptera,,,,Calamoceratidae,,,,Heteroplectron,americanum,,SHR
235,Hirudinida,,Arthropdoda,,,,Clitellata,,,,Branchiobdellida,,,,,,,,,,,C-G
236,Hybomitra ,,Arthropoda,,,,Insecta,,,,Diptera,,,,Tabanidae,,,,Hybomitra,,,PRD
237,Hydroporinae,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Dytiscidae,Hydroporinae,,,,,,PRD
238,Hydropsyche phalerata,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Hydropsyche,phalerata,,C-F
239,Limnodrilus claparedianus,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Tubificidae,,,,Limnodrilus,claparedianus,,C-G
240,Limnodrilus udekemianus,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Tubificidae,,,,Limnodrilus,udekemianus,,C-G
241,Liodessus,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Dytiscidae,Hydroporinae,,,Liodessus,,,PRD
242,Lioporeus,,Arthropoda,,,,Insecta,,,,Coleoptera,,,,Dytiscidae,,,,Lioporeus,,,PRD
243,Maccaffertium meririvulanum,,Arthrpoda,,,,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Maccaffertium,meririvulanum,"Stenome meririvulanum, Heptagenia meririvulana",SCR
244,Macromia,,Arthropoda,,,,Insecta,,,,Odonata,,,,Macromiidae,,,,Macromia,,,PRD
245,Macromiinae,,Arthropoda,,,,Insecta,,,,Odonata,,,,Macromiinae,,,,,,,PRD
246,Manayunkia speciosa,,Annelida,,,,Polychaeta,,,,Canalipalpata,,,,Sabellidae,,,,Manayunkia,speciosa,,C-G
247,Metretopodidae,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Metretopodidae,,,,,,,C-G
248,Metriocnemus,,,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladinae,,,Metriocnemus,,,C-G
249,Muscidae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Muscidae,,,,,,,
250,Nigronia,,Arthropoda,,,,Insecta,,,,Megaloptera,,,,Corydalidae,,,,Nigronia,,,PRD
251,Oecetis avara,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Leptoceridae,,,,Oecetis,avara,,PRD
252,Oribatei,,Arthropoda,,,,Arachnida,,,,Sarcoptiformes,,,,,,,,Oribatei,,,PRD
253,Orthocladius (Euorthocladius) rivicola group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,,,,Orthocladius,rivicola group,Orthocladius Type III,C-G
254,Pachydiplax longipennis,,Arthropoda,,,,Insecta,,,,Odonata,,,,Libellulidae,,,,Pachydiplax,longipennis,,PRD
255,Paranemoura perfecta,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Nemouridae,,,,Paranemoura,perfecta,Nemoura,SHR
256,Parapsyche apicalis ,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Parapsyche,,,
257,Pelocoris,,Arthropoda,,,,Insecta,,,,Hemiptera,,,,Naucoridae,,,,Pelocoris,,,PRD
258,Piguetiella blanci,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Naididae,,,,Piguetiella,blanci,Nais blanci,C-G
259,Pisidiidae,,Mollusca,,,,Bivalvia,,,,Veneroida,,,,Pisidiidae,,,,,,Sphaeriidae,C-F
260,Platycentropus,,,,,,Insecta,,,,Trichoptera,,,,Limnephilidae,,,,Platycentropus,,,SHR
261,Polypedilum braseniae,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,,,Polypedilum,braseniae,Chironomus braseniae,SHR
262,Polypedilum epleri,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,Chironomini,,Polypedilum,epleri,,SHR
263,Polypedilum ontario,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,Chiromini,,Polypedilum,ontario,Chironomus ontario,SHR
264,Pristina,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Naididae,,,,Pristina,,,C-G
265,Pristina jenkinae,,,,,,Oligochaeta,,,,Tubificida,,,,Naididae,,,,Pristina,jenkinae,Pristinella,C-G
266,Protoplasa fitchii,,Arthropoda,,,,Insecta,,,,Diptera,,,,Tanyderidae,,,,Protoplasa,fitchii,,C-G
267,Protzia exima,,Arthropoda,,,,Arachnida,,,,Trombidoformes,,,,Protziidae,,,,Protzia,exima,,PRD
268,Pseudocloeon,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Pseudocloen,,,SCR
